epoch,step,min,max,mean,std
1,1000,-0.21957328915596008,0.21036261320114136,0.005539275705814362,0.04515670984983444
2,2000,-0.12798500061035156,0.09738519787788391,0.0005460556130856276,0.025678148493170738
3,3000,-0.061932891607284546,0.0796884074807167,0.0011389972642064095,0.017278628423810005
4,4000,-0.10567596554756165,0.0028453534469008446,-0.008139517158269882,0.015563372522592545
5,5000,-0.2263222485780716,0.0514143705368042,-0.004770067520439625,0.02860547974705696
6,6000,-0.14703695476055145,0.20384174585342407,0.006326178554445505,0.0329013355076313
7,7000,-0.023225098848342896,0.049822449684143066,0.0012000944698229432,0.006803099066019058
8,8000,-0.056987449526786804,0.0648006796836853,0.0009500626474618912,0.00994196254760027
9,9000,-0.051322758197784424,0.013517223298549652,-0.00232770130969584,0.006962435320019722
10,10000,-0.036121562123298645,0.0803973376750946,0.0021721506491303444,0.008886483497917652
11,11000,-0.04766589775681496,0.05968469753861427,0.00021161523181945086,0.007069302722811699
12,12000,-0.004193487577140331,0.06002622842788696,0.0028799206484109163,0.006995983887463808
13,13000,-0.0899820327758789,0.07560219615697861,0.0005991470534354448,0.010611886158585548
14,14000,-0.019436925649642944,0.030613653361797333,0.0009057089337147772,0.004076907876878977
15,15000,-0.042610350996255875,0.00365109508857131,-0.0018422170542180538,0.00440553342923522
16,16000,-0.04188971221446991,0.09112724661827087,0.0003145890077576041,0.008832653984427452
17,17000,-0.01711133122444153,0.05339772626757622,0.001013898872770369,0.004797138273715973
18,18000,-0.041496120393276215,0.006638961378484964,-0.001411411096341908,0.00390097894705832
19,19000,-0.076679527759552,0.041857242584228516,0.0002506254822947085,0.007391573861241341
20,20000,-0.040531501173973083,0.02923913300037384,-0.0005691633559763432,0.004254478495568037
21,21000,-0.06411314010620117,0.07785777002573013,0.00046954007120803,0.007167206611484289
22,22000,-0.04995723441243172,0.1041383147239685,0.0002868007868528366,0.008359176106750965
23,23000,-0.0631336122751236,0.06477949023246765,-0.0008046512957662344,0.0071838172152638435
24,24000,-0.0868263840675354,0.019793137907981873,-0.0009642447112128139,0.005971535574644804
25,25000,-0.05055087059736252,0.016431808471679688,-0.000344858126481995,0.00422578863799572
26,26000,-0.043597713112831116,0.07351969182491302,0.00022369762882590294,0.00664866529405117
27,27000,-0.10432641208171844,0.13682204484939575,-4.139379598200321e-06,0.011888307519257069
28,28000,-0.008663233369588852,0.04332257807254791,0.001936613698489964,0.004789168946444988
29,29000,-0.022837214171886444,0.043864086270332336,0.0006928903749212623,0.0044494676403701305
30,30000,-0.10944269597530365,0.0604059100151062,-0.0026421789079904556,0.01170013751834631
