epoch,step,min,max,mean,std
1,1000,-0.045714281499385834,0.050720613449811935,-0.00016376217536162585,0.005836199969053268
2,2000,-0.028894349932670593,0.030814070254564285,4.910853022010997e-05,0.003473096527159214
3,3000,-0.027200821787118912,0.02870056964457035,-2.63645124505274e-05,0.003206926165148616
4,4000,-0.01902821846306324,0.026291757822036743,-4.045279638376087e-05,0.0027789147570729256
5,5000,-0.05879810452461243,0.057849206030368805,-0.0002277009771205485,0.005760472733527422
6,6000,-0.054278187453746796,0.05405864864587784,-0.0001927840494317934,0.005484366789460182
7,7000,-0.02709648758172989,0.007535582408308983,-1.0764055332401767e-05,0.0013492516009137034
8,8000,-0.032736629247665405,0.028778158128261566,-5.80606865696609e-05,0.002169545739889145
9,9000,-0.018485762178897858,0.08227469027042389,0.00012399599654600024,0.002478602109476924
10,10000,-0.029290877282619476,0.017573893070220947,-7.90442936704494e-06,0.0018967394717037678
11,11000,-0.046816129237413406,0.030175987631082535,-0.0002085294690914452,0.002705860650166869
12,12000,-0.034440599381923676,0.013467485085129738,-0.00013189903984311968,0.001701035420410335
13,13000,-0.06208525598049164,0.055493906140327454,-5.6036962632788345e-05,0.003220109734684229
14,14000,-0.07076817005872726,0.035121530294418335,-0.00011327662650728598,0.002531262580305338
15,15000,-0.035188544541597366,0.030994080007076263,-6.270825542742386e-05,0.0015896324766799808
16,16000,-0.03553023189306259,0.054445601999759674,0.00010584087431197986,0.002685252111405134
17,17000,-0.03731707111001015,0.0281260646879673,-6.328193194349296e-06,0.0021115627605468035
18,18000,-0.05272578448057175,0.04936540871858597,0.00010061042121378705,0.0022013885900378227
19,19000,-0.047103360295295715,0.035001739859580994,-3.628108242992312e-05,0.0018641464412212372
20,20000,-0.042866095900535583,0.022169947624206543,-1.3734186723013408e-05,0.001689302851445973
21,21000,-0.050673432648181915,0.04348886013031006,-6.587467214558274e-05,0.002419679658487439
22,22000,-0.03405986353754997,0.07569990307092667,8.32502482808195e-05,0.002726407954469323
23,23000,-0.06626684963703156,0.08959802985191345,2.8464537535910495e-05,0.0032378011383116245
24,24000,-0.023965366184711456,0.054048653692007065,5.7096127420663834e-05,0.0016619192901998758
25,25000,-0.04721567779779434,0.03590962290763855,3.8188158214325085e-05,0.002031422220170498
26,26000,-0.03973068296909332,0.04584832116961479,-7.958073183544911e-06,0.002107921987771988
27,27000,-0.04486708343029022,0.05547797679901123,2.3550332116428763e-05,0.002770649502053857
28,28000,-0.07292113453149796,0.027139779180288315,-0.00015120033640414476,0.0022258602548390627
29,29000,-0.048966407775878906,0.04132924973964691,-4.622601409209892e-05,0.0019201399991288781
30,30000,-0.031070757657289505,0.09872958809137344,0.00011713748972397298,0.002892174059525132
