epoch,step,min,max,mean,std
1,1000,-0.033552974462509155,0.03493403643369675,0.006195905618369579,0.025019919499754906
2,2000,-0.012199223041534424,0.014848131686449051,0.002465778961777687,0.011997089721262455
3,3000,-0.011312734335660934,0.013565792702138424,0.001989309675991535,0.009920302778482437
4,4000,-0.023467283695936203,-0.0022540148347616196,-0.0140508022159338,0.009353498928248882
5,5000,-0.04824696481227875,0.008561041206121445,-0.00931217335164547,0.02271755412220955
6,6000,-0.025277331471443176,0.060522861778736115,0.01715463027358055,0.03224093094468117
7,7000,-0.0066842250525951385,0.00849459320306778,0.002713160589337349,0.0059845647774636745
8,8000,-0.011819083243608475,0.017386071383953094,0.004364867229014635,0.012230828404426575
9,9000,-0.023292899131774902,0.002362525090575218,-0.009005226194858551,0.010848584584891796
10,10000,-0.011189445853233337,0.012610554695129395,0.0020833658054471016,0.010318024083971977
11,11000,-0.020083099603652954,0.01621202938258648,0.0013730633072555065,0.014840182848274708
12,12000,-0.0034231627359986305,0.01590282842516899,0.00741979805752635,0.008003239519894123
13,13000,-0.02927980199456215,0.028117042034864426,0.004563857801258564,0.02102125622332096
14,14000,-0.004121758043766022,0.009134583175182343,0.0030353423207998276,0.004843831527978182
15,15000,-0.006205156445503235,0.0022939741611480713,-0.0021006823517382145,0.0030639267060905695
16,16000,-0.014794768765568733,0.026387274265289307,8.45582690089941e-05,0.015642846003174782
17,17000,-0.006928287446498871,0.008820716291666031,0.0023161922581493855,0.005752058234065771
18,18000,-0.01976381056010723,0.008222877979278564,-0.006061759311705828,0.010456136427819729
19,19000,-0.02271142601966858,0.009581703692674637,0.0005418278742581606,0.013453049585223198
20,20000,-0.01460978388786316,0.015688657760620117,0.0010541211813688278,0.011654152534902096
21,21000,-0.03231249377131462,0.035910990089178085,0.0031778563279658556,0.02422371879220009
22,22000,-0.02802702784538269,0.026030980050563812,-0.0040313852950930595,0.01949472725391388
23,23000,-0.014719918370246887,0.03749677538871765,0.0020429501309990883,0.0210297629237175
24,24000,-0.016809705644845963,0.00543791800737381,-0.0019036387093365192,0.008763379417359829
25,25000,-0.014083615504205227,0.006243355572223663,-0.0030665951780974865,0.008026966825127602
26,26000,-0.01555999182164669,0.016001306474208832,-0.0009814773220568895,0.011276999488472939
27,27000,-0.02182147279381752,0.023581616580486298,-0.0017551956698298454,0.01648756116628647
28,28000,-0.0018535014241933823,0.007828463800251484,0.004054518416523933,0.0035878068301826715
29,29000,-0.01950249634683132,0.013472994789481163,0.002968698740005493,0.01316855102777481
30,30000,-0.029511770233511925,0.015495069324970245,-0.008015100844204426,0.01610490120947361
