epoch,step,min,max,mean,std
1,1000,-0.24363967776298523,0.2711731195449829,-5.5534575949423015e-05,0.0096306586638093
2,2000,-0.39423149824142456,0.1853167712688446,-5.1966369937872514e-05,0.009410081431269646
3,3000,-0.25567740201950073,0.32754048705101013,9.543132910039276e-05,0.010183844715356827
4,4000,-0.16821950674057007,0.5308095812797546,2.7247684556641616e-05,0.009782753884792328
5,5000,-0.5952404737472534,0.8387171030044556,-0.00020935808424837887,0.020803865045309067
6,6000,-0.5592900514602661,0.32091885805130005,-0.0002506546152289957,0.0156873632222414
7,7000,-0.21012696623802185,0.1600714921951294,-2.797282832034398e-05,0.005946991499513388
8,8000,-0.7493258714675903,0.5924474596977234,-3.644337266450748e-05,0.0158494021743536
9,9000,-0.6665348410606384,0.5674079060554504,-6.899252184666693e-05,0.016386263072490692
10,10000,-0.3048619031906128,0.6712708473205566,-7.613542402395979e-05,0.01243054959923029
11,11000,-0.5245913863182068,0.5058919191360474,-0.00010025965457316488,0.015081561170518398
12,12000,-0.42300111055374146,0.28317975997924805,-0.0001550506567582488,0.011013979092240334
13,13000,-0.5190541744232178,0.6365599632263184,0.00010711625509429723,0.01991855725646019
14,14000,-0.5465908646583557,0.5434771776199341,6.37822158751078e-05,0.016992930322885513
15,15000,-0.374126136302948,0.4848940968513489,-3.5721875519811874e-06,0.012075994163751602
16,16000,-1.1143016815185547,0.4610013961791992,-9.958544978871942e-05,0.021648360416293144
17,17000,-0.6035038828849792,0.7751191854476929,0.00030864201835356653,0.023128248751163483
18,18000,-0.5471729040145874,0.40560758113861084,-0.0003969698736909777,0.017379477620124817
19,19000,-0.4752671718597412,0.8299345970153809,4.407569213071838e-05,0.019041389226913452
20,20000,-0.608588457107544,0.2589470148086548,-0.00017139448027592152,0.013154922984540462
21,21000,-0.7699899077415466,0.6349135637283325,-0.00016643916023895144,0.02261091023683548
22,22000,-1.1151528358459473,1.2944520711898804,-6.451121589634567e-05,0.03450727462768555
23,23000,-0.8874754905700684,0.9743390679359436,0.0003242794773541391,0.026410212740302086
24,24000,-0.4800729751586914,0.9137464761734009,0.00031590924481861293,0.01932072453200817
25,25000,-0.9565678834915161,0.577420711517334,-8.717662421986461e-05,0.02391287125647068
26,26000,-1.9399280548095703,0.9018762707710266,-0.0006853251834399998,0.04109003022313118
27,27000,-1.0354228019714355,0.721265435218811,-0.0003477191203273833,0.0313437320291996
28,28000,-0.9601980447769165,1.5760014057159424,0.00014754287258256227,0.0391937792301178
29,29000,-0.6595270037651062,1.0836725234985352,8.270744001492858e-05,0.02322678081691265
30,30000,-1.5244362354278564,1.2407972812652588,0.00022934707521926612,0.04936034232378006
